Summary,Outcome,Side,Unnamed: 3,case_summary
"This appeal arises from a motor accident claim filed by the legal representatives of a deceased passenger against the appellant insurance company and the owner of the vehicle. The accident occurred when the car, driven by the owner, collided with a parked lorry, resulting in the death of one of the car's occupants. The claimants argued that the deceased was traveling for the owner's business and sought compensation. The Insurance Company contended that the deceased was a gratuitous passenger and thus not covered under the insurance policy. The Tribunal awarded compensation against both the Insurance Company and the vehicle owner. The Insurance Company appealed solely on the grounds of policy coverage.","The court held that the insurance policy did cover the risk of passengers traveling for the owner's business, as per the terms of the policy. However, upon examining the evidence, it found no clear business connection between the deceased and the vehicle owner. Therefore, the deceased could not be considered as traveling by reason of or in pursuance of a contract of employment with the owner. Consequently, the Insurance Company was not liable under the policy. The court set aside the award against the Insurance Company but upheld the award against the vehicle owner, who did not appeal. No costs were awarded.",1,,"Key info:  This appeal arises from a motor accident claim filed by the legal representatives of a deceased passenger against the appellant insurance company and the owner of the vehicle. The accident occurred when the car, driven by the owner, collided with a parked lorry, resulting in the death of one of the car's occupants.. The court held that the insurance policy did cover the risk of passengers traveling for the owner's business, as per the terms of the policy. However, upon examining the evidence, it found no clear business connection between the deceased and the vehicle owner.."
"The writ appeal contests an order under the Industrial Disputes Act, where the petitioner sought to quash a referral of an industrial dispute. Arguments revolve around the existence of a demand for reinstatement by dismissed workmen and the petitioner's refusal, with evidence suggesting dispute via representations and discussions. The court rejects the petitioner's contention that conciliation had ended, noting continued involvement of the conciliation officer. It dismisses objections raised by the petitioner, finding them lacking merit both legally and factually.","The writ appeal is dismissed, and costs are awarded to the respondents. The court emphasizes the petitioner's attempt to exploit the court's jurisdiction by raising technical objections instead of engaging in pending industrial adjudication.",0,,"Key info:  The writ appeal contests an order under the Industrial Disputes Act, where the petitioner sought to quash a referral of an industrial dispute. Arguments revolve around the existence of a demand for reinstatement by dismissed workmen and the petitioner's refusal, with evidence suggesting dispute via representations and discussions.. The writ appeal is dismissed, and costs are awarded to the respondents. The court emphasizes the petitioner's attempt to exploit the court's jurisdiction by raising technical objections instead of engaging in pending industrial adjudication.."
"The appellant, an insurance company, contests a compensation award in a motor accident claims case, arguing that the driver had no valid license, only a learner's license, making the insurance policy void. They cite a court decision supporting this argument. However, the respondent rebuts, stating the onus of proof lies with the insurer regarding policy breaches. They reference legal precedent emphasizing this point. The appellant further argues the ineffectiveness of a learner's license based on a previous court ruling, which exonerated an insurance company in a similar case. Ultimately, the appeal is dismissed.","The appeal is dismissed, affirming the compensation award against the insurance company.",0,,"Key info:  The appellant, an insurance company, contests a compensation award in a motor accident claims case, arguing that the driver had no valid license, only a learner's license, making the insurance policy void. They cite a court decision supporting this argument.. The appeal is dismissed, affirming the compensation award against the insurance company.."
"The petitioner, a cement manufacturer, challenged an order demanding excise duty issued by the Assistant Collector of Central Excise, alleging misdeclaration and misstatement of facts regarding the classification of their product. The petitioner had claimed exemption under a notification for their product marketed as ""Janatha Cem"", but the department contended it fell under a different tariff item, warranting duty payment.
The petitioner contended that the extended period for issuing a show cause notice did not apply, but the Collector of Central Excise upheld the demand, citing misstatement of facts. Despite the availability of an appeal, the petitioner approached the court under Article 226 of the Constitution.
The court upheld the Collector's order, emphasizing that the petitioner's misrepresentation regarding the product's classification justified invoking the extended period for issuing the notice. ","The court rejected the petitioner's argument regarding the department's awareness of their manufacturing activities, stating that the crucial factor was the petitioner's misstatement.The writ petition was dismissed, affirming the duty demand and penalty imposed on the petitioner by the Collector of Central Excise.",0,,"Key info:  The petitioner, a cement manufacturer, challenged an order demanding excise duty issued by the Assistant Collector of Central Excise, alleging misdeclaration and misstatement of facts regarding the classification of their product. The petitioner had claimed exemption under a notification for their product marketed as ""Janatha Cem"", but the department contended it fell under a different tariff item, warranting duty payment.
. The court rejected the petitioner's argument regarding the department's awareness of their manufacturing activities, stating that the crucial factor was the petitioner's misstatement. The writ petition was dismissed, affirming the duty demand and penalty imposed on the petitioner by the Collector of Central Excise.."
"The petitioner challenges the appointment of a Commissioner in a part-heard case regarding eviction under the Tamil Nadu Buildings (Lease and Rent Control) Act. The respondent landlord sought appointment to inspect the property occupied by the petitioner, alleging wilful default and acts of waste. The petitioner opposes, arguing that the appointment is premature and aimed at collecting evidence, which should occur after the closure of evidence. The petitioner files a petition under Article 227 of the Constitution, contending that the order is procedural and does not affect the parties' rights."," The court directed the learned Judge to complete the case within this timeframe without unnecessary adjournments or delays. As a result, the civil revision petitions were dismissed, and each party was ordered to bear their own costs. Since there is no indication of one party prevailing over the other in the court's decision, it can be considered a mutual agreement to resolve the matter, and neither party can be definitively labeled as the winner.",0,,"Key info:  The petitioner challenges the appointment of a Commissioner in a part-heard case regarding eviction under the Tamil Nadu Buildings (Lease and Rent Control) Act. The respondent landlord sought appointment to inspect the property occupied by the petitioner, alleging wilful default and acts of waste..   The court directed the learned Judge to complete the case within this timeframe without unnecessary adjournments or delays.."
"The petitioners, including a company represented by its chairman and other directors, sought to quash a complaint (C.C. No. 430 of 2000) filed against them under Section 138 of the Negotiable Instruments Act, 1881. The complaint alleged that the accused-company issued a cheque for Rs. 4,68,581, which was dishonored, leading to the filing of the complaint by the complainant-company. However, the petitioners argued that the complainant received a demand draft for Rs. 2,00,000 towards part payment, reducing the outstanding amount to Rs. 2,68,581. They contended that since the cheque amount exceeded the debt owed, Section 138 of the Act could not be invoked.","The court ruled in favor of the petitioners, quashing the complaint. It held that since the cheque amount exceeded the outstanding debt, it could not be considered as being drawn towards the discharge of either the whole or part of any debt or liability. As a result, Section 138 of the Negotiable Instruments Act was deemed inapplicable, leading to the quashing of the complaint. The petitioners' plea was allowed, and the connected criminal miscellaneous petitions were closed.",1,,"Key info:  The petitioners, including a company represented by its chairman and other directors, sought to quash a complaint (C.C. No. 430 of 2000) filed against them under Section 138 of the Negotiable Instruments Act, 1881. The complaint alleged that the accused-company issued a cheque for Rs. 4,68,581, which was dishonored, leading to the filing of the complaint by the complainant-company.. The court ruled in favor of the petitioners, quashing the complaint. It held that since the cheque amount exceeded the outstanding debt, it could not be considered as being drawn towards the discharge of either the whole or part of any debt or liability.."
"The appeal was filed by the Revenue under Section 260-A of the Income Tax Act, 1961, challenging the decision of the Income Tax Appellate Tribunal, Madras ""B"" Bench, dated July 13, 2004, in I.T.A. Nos. 1187/Mds/1998. The case involved M/s. Idhayam Publications Private Limited, which accepted a cash loan of Rs. 2,94,000 from M/s. Manian Creations, a sister concern, allegedly violating Section 269SS of the Act. The Deputy Commissioner of Income Tax imposed a penalty under Section 271-D for this violation, which was contested by the assessee. The Commissioner of Income Tax (Appeals) held that though there was a violation, the constitutional validity of Section 269SS was challenged based on a Madras High Court judgment, leading to the Tribunal's decision in favor of the assessee.","The Tribunal ruled that the transaction between the assessee and Mr. S.V.S. Manian, a director of the company, did not constitute a loan or advance within the meaning of Section 269SS. The Tribunal found that it was a current account transaction, permissible under the Companies Act, and thus, there was no violation of Section 269SS. Consequently, the appeal by the Revenue was dismissed, and no substantial question of law was found to arise for consideration.",1,,"Key info:  The appeal was filed by the Revenue under Section 260-A of the Income Tax Act, 1961, challenging the decision of the Income Tax Appellate Tribunal, Madras ""B"" Bench, dated July 13, 2004, in I.T.A. Nos. 1187/Mds/1998. The case involved M/s. Idhayam Publications Private Limited, which accepted a cash loan of Rs. 2,94,000 from M/s. Manian Creations, a sister concern, allegedly violating Section 269SS of the Act.. The Tribunal ruled that the transaction between the assessee and Mr. S.V.S. Manian, a director of the company, did not constitute a loan or advance within the meaning of Section 269SS. The Tribunal found that it was a current account transaction, permissible under the Companies Act, and thus, there was no violation of Section 269SS.."
"The petitioner, accused in a case under section 138 of the Negotiable Instruments Act, filed a petition under section 45 of the Indian Evidence Act requesting to send the disputed cheque for handwriting expert's opinion. The petitioner argued that the signature on the cheque was in a different ink from the other particulars filled in, suggesting misuse by the respondent. However, the trial court rejected the plea, stating that since the petitioner admitted the signature, there was no necessity for expert opinion. The key points of contention were whether section 20 of the Negotiable Instruments Act applied to blank cheques signed by the drawer, whether a holder could fill up a blank cheque, and whether the disputed document could be sent to an expert for determining the age of the signature ink.","The court ruled that section 20 of the Negotiable Instruments Act applied only to stamped instruments like pronotes and bills of exchange, not to cheques. It held that if a drawer authorizes the payee or holder in due course to fill up a signed cheque, such an instrument is valid. Moreover, it emphasized that while an opportunity for handwriting expert's opinion may be warranted if the signature is disputed, it was unnecessary when the signature was admitted. Additionally, the court noted the impracticality and potential inaccuracies in determining the age of ink, rendering expert opinion on the matter inconclusive. Consequently, the revision was dismissed, and the trial court's order was upheld.",0,,"Key info:  The petitioner, accused in a case under section 138 of the Negotiable Instruments Act, filed a petition under section 45 of the Indian Evidence Act requesting to send the disputed cheque for handwriting expert's opinion. The petitioner argued that the signature on the cheque was in a different ink from the other particulars filled in, suggesting misuse by the respondent.. The court ruled that section 20 of the Negotiable Instruments Act applied only to stamped instruments like pronotes and bills of exchange, not to cheques. It held that if a drawer authorizes the payee or holder in due course to fill up a signed cheque, such an instrument is valid.."
"The petitioner, a dealer in lubricants, purchased goods from M/s Classic Enterprises, which failed to file returns or pay taxes. Despite the petitioner paying taxes to M/s Classic Enterprises, the tax department issued notices to reverse input tax credit, citing the selling dealer's failure. The Assistant Commissioner upheld this decision, relying on Section 19(1) of the TNVAT Act and stating that payment by the petitioner didn't prove tax payment by the selling dealer. However, the court found this reasoning irrational and arbitrary. It noted that Section 19(1) allowed input tax credit if the dealer proved tax payment, which the petitioner did. Section 19(16) only applied to incorrect claims, not cases where taxes were genuinely paid to the selling dealer. Consequently, the court set aside the orders and allowed the writ petitions.","The petitioner won the case, as the court set aside the tax department's orders to reverse input tax credit. The court deemed the orders irrational and contrary to the TNVAT Act and Rules.",1,,"Key info:  The petitioner, a dealer in lubricants, purchased goods from M/s Classic Enterprises, which failed to file returns or pay taxes. Despite the petitioner paying taxes to M/s Classic Enterprises, the tax department issued notices to reverse input tax credit, citing the selling dealer's failure.. The petitioner won the case, as the court set aside the tax department's orders to reverse input tax credit. The court deemed the orders irrational and contrary to the TNVAT Act and Rules.."
"A Habeas Corpus Petition has been filed challenging the detention of Marjith Alikhan under the Tamil Nadu Prevention of Dangerous Activities of Boot-Leggers, Drug Offenders, Goondas, etc. Act, 1982. The petitioner argues that the detention order should be quashed due to delay in disposing of the detenu's representation. Despite various grounds raised, the petitioner primarily focuses on this delay. The Additional Public Prosecutor argues that the petition is premature, citing a Supreme Court decision. However, the court finds that the delay in disposing of the representation violates constitutional provisions safeguarding personal liberty. Citing numerous precedents, the court sets aside the detention order and orders the detenu's immediate release unless required in another case.","The Habeas Corpus Petition is allowed, and the detention order is set aside. The detenu is directed to be released unless needed in another case.",1,,"Key info:  A Habeas Corpus Petition has been filed challenging the detention of Marjith Alikhan under the Tamil Nadu Prevention of Dangerous Activities of Boot-Leggers, Drug Offenders, Goondas, etc. Act, 1982. The petitioner argues that the detention order should be quashed due to delay in disposing of the detenu's representation.. The Habeas Corpus Petition is allowed, and the detention order is set aside. The detenu is directed to be released unless needed in another case.."
"The case revolves around a property originally belonging to Kandasamy, allotted to him in a family partition in 1966. The second respondent, claiming entitlement to a share in the property, alleged it to be ancestral and was bequeathed a portion in a will by Kandasamy. However, before his demise, Kandasamy sold the portion to the petitioners in 2007. The second respondent entered a sale agreement in 2013, casting a cloud on the petitioners' title. The petitioners sought cancellation of this agreement, citing Circular No.67 (withdrawn) and Section 77-A of the Registration Act.","The court ruled that the 2013 document couldn't be canceled based on subsequent circulars or statutory amendments. Instead, it directed the disposal of a suit filed by the second respondent within six months. Depending on the suit's outcome, the petitioner's remedy would be addressed or they could register the judgment and decree.",0,,"Key info:  The case revolves around a property originally belonging to Kandasamy, allotted to him in a family partition in 1966. The second respondent, claiming entitlement to a share in the property, alleged it to be ancestral and was bequeathed a portion in a will by Kandasamy.. The court ruled that the 2013 document couldn't be canceled based on subsequent circulars or statutory amendments. Instead, it directed the disposal of a suit filed by the second respondent within six months.."
"The appellant was injured in a motor accident and claimed compensation under the Motor Vehicles Act, 1988. The Tribunal awarded him a sum of ?14,25,400, which included compensation for medical expenses, pain and suffering, loss of earning capacity, future medical expenses, etc. The High Court revised the compensation, particularly for loss of earning capacity, to ?19,65,600, considering the appellant's disability and future prospects. However, the Court found the assessment of loss of future earning capacity to be inadequate and increased it to ?4,01,400, with interest. The Court upheld the compensation awarded for other heads, except for loss of earning capacity.","The appellant's compensation for loss of future earning capacity was increased from ?7,77,600 to ?19,65,600 by the High Court. However, the Supreme Court found it inadequate and further enhanced it to ?4,01,400. The Court partly allowed the appeal and modified the judgment accordingly, with no order on costs.",1,,"Key info:  The appellant was injured in a motor accident and claimed compensation under the Motor Vehicles Act, 1988. The Tribunal awarded him a sum of ?14,25,400, which included compensation for medical expenses, pain and suffering, loss of earning capacity, future medical expenses, etc.. The appellant's compensation for loss of future earning capacity was increased from ?7,77,600 to ? 19,65,600 by the High Court.."
"The case involves challenges to the selection process for Physical Training Instructors (PTI) in Haryana. The selection process faced allegations of irregularities, including changes in criteria, favoritism, and manipulation of marks. Several writ petitions were filed in the Punjab and Haryana High Court, challenging the selection process. The High Court found merit in the petitioners' arguments and set aside the selection, noting arbitrariness and malpractice in the selection process. The case also raised questions regarding the conversion of Craft and Vocational (C&V) teachers to Trained Graduate Teachers (TGT) and the applicability of relevant rules.","The High Court set aside the selection process for PTI posts due to irregularities and arbitrariness in the selection criteria and marking process. Additionally, the Court clarified the status of C&V teachers, stating that their conversion to TGT was for administrative purposes and did not elevate them to the TGT cadre.",1,,"Key info:  The case involves challenges to the selection process for Physical Training Instructors (PTI) in Haryana. The selection process faced allegations of irregularities, including changes in criteria, favoritism, and manipulation of marks.. The High Court set aside the selection process for PTI posts due to irregularities and arbitrariness in the selection criteria and marking process. Additionally, the Court clarified the status of C&V teachers, stating that their conversion to TGT was for administrative purposes and did not elevate them to the TGT cadre.."
"In this case, the accused-applicant was charged with offenses under various sections of the Indian Penal Code (IPC), including an alleged attempt to sexually harass the complainant. The accused sought pre-arrest bail under Section 438 of the Code of Criminal Procedure, 1973 (CrPC). While granting bail, the High Court imposed a condition requiring the accused to visit the complainant's house with his wife, tie a Rakhi band, offer sweets and money, and seek blessings. The condition imposed by the High Court was challenged.
","The court set aside and expunged the bail conditions mentioned in the judgment, issuing comprehensive directives to ensure fairness, sensitivity, and gender sensitization in judicial proceedings related to sexual offenses. The appeal was disposed of without any costs.",1,,"Key info:  In this case, the accused-applicant was charged with offenses under various sections of the Indian Penal Code (IPC), including an alleged attempt to sexually harass the complainant. The accused sought pre-arrest bail under Section 438 of the Code of Criminal Procedure, 1973 (CrPC).. The court set aside and expunged the bail conditions mentioned in the judgment, issuing comprehensive directives to ensure fairness, sensitivity, and gender sensitization in judicial proceedings related to sexual offenses. The appeal was disposed of without any costs.."
"This case involves a dispute between the appellant-husband and the respondent-wife, who got married but separated soon after due to disputes. The wife filed a complaint against the husband and his family, alleging harassment for dowry, which resulted in legal proceedings. The husband filed for divorce on grounds of cruelty and desertion, which was granted by the Family Court but overturned by the High Court.

The Supreme Court analyzed the facts and found that the wife's complaint and subsequent legal actions caused irreparable harm and mental cruelty to the husband. Despite the lack of cohabitation, the Court held that the wife's conduct amounted to cruelty. Therefore, it upheld the decree of divorce granted by the Family Court and ordered the husband to pay permanent alimony to the wife.","The Supreme Court upheld the divorce decree, ordering the husband to pay permanent alimony to the wife. It also issued directions for courts to promote mediation for matrimonial disputes while safeguarding relevant legal provisions.
Additionally, the Court issued directions to Family Courts and criminal courts to encourage mediation for settlement of matrimonial disputes, while ensuring that the efficacy of relevant legal provisions, such as Section 498-A of the IPC, is maintained.",1,,"Key info:  This case involves a dispute between the appellant-husband and the respondent-wife, who got married but separated soon after due to disputes. The wife filed a complaint against the husband and his family, alleging harassment for dowry, which resulted in legal proceedings.. The Supreme Court upheld the divorce decree, ordering the husband to pay permanent alimony to the wife. It also issued directions for courts to promote mediation for matrimonial disputes while safeguarding relevant legal provisions.
."
"In this case, the appellant, who is legally married to the second respondent, filed a criminal complaint against her husband (the second respondent) and another woman (the first respondent) for offenses including bigamy and criminal intimidation. The complaint alleged that the second respondent married the first respondent while still married to the appellant, and that a religious ceremony was performed during the first respondent's pregnancy.

The High Court quashed the complaint primarily on the grounds that the appellant failed to provide sufficient evidence of the alleged marriage between the second respondent and the first respondent.However, the Supreme Court found that the appellant's complaint contained specific allegations regarding the marriage and other offenses, and that the question of proving these allegations would arise during trial. ","The Supreme Court allowed the appeal, setting aside the High Court's order and directing expedited trial proceedings. The trial court is instructed to independently assess the complaint and evidence.",1,,"Key info:  In this case, the appellant, who is legally married to the second respondent, filed a criminal complaint against her husband (the second respondent) and another woman (the first respondent) for offenses including bigamy and criminal intimidation. The complaint alleged that the second respondent married the first respondent while still married to the appellant, and that a religious ceremony was performed during the first respondent's pregnancy.

. The Supreme Court allowed the appeal, setting aside the High Court's order and directing expedited trial proceedings. The trial court is instructed to independently assess the complaint and evidence.."
"Union of India filed appeal against Judgment of Single Judge quashing demand notice and orders related to excise duty on excess sugar production. Petitioner claimed exemption under Notification G.S.R. 706 for excess sugar produced during 1959-60 season. Dispute arose over reprocessed sugar after 31st Oct, 1960. Single Judge allowed writ petition, holding petitioner entitled to concessional rate of duty on reprocessed sugar. Appeal against this decision.","Appeal dismissed. Court held reprocessed sugar was part of 1959-60 season production, entitling petitioner to concession under G.S.R. 706.	",0,,"Key info:  Union of India filed appeal against Judgment of Single Judge quashing demand notice and orders related to excise duty on excess sugar production. Petitioner claimed exemption under Notification G.S.R. 706 for excess sugar produced during 1959-60 season.. Appeal dismissed. Court held reprocessed sugar was part of 1959-60 season production, entitling petitioner to concession under G.S.R. 706.	."
"Preliminary objection raised under Section 252 of the Procedure Code regarding irregularity in sale of moveable property. Court determines subject of sale is legally immoveable property, making Section 252 inapplicable.",Order reversed. Case remanded for decision on merits. Judge erred in considering sale as of moveable property.,1,,"Key info:  Preliminary objection raised under Section 252 of the Procedure Code regarding irregularity in sale of moveable property. Court determines subject of sale is legally immoveable property, making Section 252 inapplicable.. Order reversed. Case remanded for decision on merits.."
"Plaintiff alleges defendant purchased land from Municipality that was part of old public road, blocking plaintiff's right of way and drainage access to present public road. Lower courts dismissed most of claim. High Court finds plaintiff's injuries sufficient for relief, remands case to consider whether land was part of public thoroughfare and if plaintiff's injuries warrant relief.","Appeal decreed. High Court modifies lower courts' decrees, granting plaintiff's claim for a cart-road reserved for access and preservation of existing drainage, with all costs.",1,,"Key info:  Plaintiff alleges defendant purchased land from Municipality that was part of old public road, blocking plaintiff's right of way and drainage access to present public road. Lower courts dismissed most of claim.. Appeal decreed. High Court modifies lower courts' decrees, granting plaintiff's claim for a cart-road reserved for access and preservation of existing drainage, with all costs.."
"Petitioner trespassed on neighbor's property, making unauthorized changes and threats. Convicted of criminal trespass and mischief. Arguments for revision: no criminal intent, only intent to benefit; complaints should be civil; double punishment illegal. Court finds no valid defense: entry without intent to intimidate or commit offense is not trespass; injuring property in belief it's one's own is not mischief. Petitioner knew he had no right, so intent was wrongful. Convictions upheld, though petitioner's role was abetment.","Convictions upheld. Court dismisses objections to punishment, as it does not exceed maximums for individual offenses or combined offenses. Petitioner's actions, though meant to benefit himself, caused wrongful loss to complainant.",0,,"Key info:  Petitioner trespassed on neighbor's property, making unauthorized changes and threats. Convicted of criminal trespass and mischief.. Convictions upheld. Court dismisses objections to punishment, as it does not exceed maximums for individual offenses or combined offenses.."
"The court found procedural irregularities in the reading of a deposition in the Sessions Court to prove the loss and identity of articles found in the accused's possession. The deposition was inadmissible under Section 249 of the Criminal Procedure Code and Section 33 of the Evidence Act. The Sessions Judge also erred in considering a statement against two accused based on Section 30 of the Evidence Act. The case is remanded for further inquiry before the Sessions Judge, with the accused present for cross-examination and additional evidence to establish the loss of articles and their identity.	",Case remanded for further inquiry before the Sessions Judge. Accused to be present for cross-examination and additional evidence collection.	,0,,Key info:  The court found procedural irregularities in the reading of a deposition in the Sessions Court to prove the loss and identity of articles found in the accused's possession. The deposition was inadmissible under Section 249 of the Criminal Procedure Code and Section 33 of the Evidence Act.. Case remanded for further inquiry before the Sessions Judge. Accused to be present for cross-examination and additional evidence collection.	.
"The petitioner seeks to amend a decree to align it with a court judgment. The respondent admits the need for amendment but argues that the application is barred by limitation under Article 178 of the Limitation Act. The court, however, doubts the applicability of Article 178, as it believes the article applies to discretionary powers of the court, not to acts the court is bound to perform. Previous decisions support this view. The court notes that even if Article 178 applies, the court is obligated to correct the decree to align with the judgment. The court orders the decree to be amended to reflect the judgment.	",Decree amended to align with the judgment.	,1,,Key info:  The petitioner seeks to amend a decree to align it with a court judgment. The respondent admits the need for amendment but argues that the application is barred by limitation under Article 178 of the Limitation Act.. Decree amended to align with the judgment.	.
"The Court found procedural irregularities in the reading of a deposition in the Sessions Court to prove the loss and identity of articles found in the accused's possession. The Court of First Instance was not authorized to make a reference to arbitration, as it was only within the jurisdiction of the Appellate Court. One arbitrator refused to act, and the Court could have either appointed a new arbitrator or superseded the arbitration. The Court could not pass a decree based on the remaining arbitrators' award. The case is remanded for trial.",Case remanded for trial. Costs to follow the result.,1,,"Key info:  The Court found procedural irregularities in the reading of a deposition in the Sessions Court to prove the loss and identity of articles found in the accused's possession. The Court of First Instance was not authorized to make a reference to arbitration, as it was only within the jurisdiction of the Appellate Court.. Case remanded for trial. Costs to follow the result.."
" Two prisoners, Maru and Fatten, were tried together and convicted. Maru was convicted under Section 363 of the Indian Penal Code and sentenced to two years' rigorous imprisonment. Fatten was convicted under Section 368 read with Section 363 of the Indian Penal Code and sentenced to one year's rigorous imprisonment."," Maru's appeal was dismissed, and his conviction and sentence were confirmed. Fatten's appeal was decreed, his conviction and sentence were set aside, and he was directed to be released.",0,,"Key info:   Two prisoners, Maru and Fatten, were tried together and convicted. Maru was convicted under Section 363 of the Indian Penal Code and sentenced to two years' rigorous imprisonment..  Maru's appeal was dismissed, and his conviction and sentence were confirmed. Fatten's appeal was decreed, his conviction and sentence were set aside, and he was directed to be released.."
"This is an appeal arising in proceedings for the execution of a decree. The appeal was referred to the Full Bench of the Court. The appellant raised four grounds, but no arguments were presented for the first, second, and fourth grounds. The third ground questioned whether a previous order in execution proceedings barred the present application. The Court found that the previous order only related to satisfaction of the money part of the decree, not the possession of the property decreed. The main contention was whether Section 43 of the Code of Civil Procedure applied to execution proceedings, preventing the present application. The Court held that Section 43 did not apply to execution proceedings. Separate applications for different reliefs in a decree were permissible.	",The Court held that Section 43 of the Code of Civil Procedure does not apply to proceedings in execution of a decree.	,0,,Key info:  This is an appeal arising in proceedings for the execution of a decree. The appeal was referred to the Full Bench of the Court.. The Court held that Section 43 of the Code of Civil Procedure does not apply to proceedings in execution of a decree.	.
"This is an appeal in execution proceedings where the decree-holder obtained a decree from the Subordinate Judge, which was confirmed by the High Court with costs. The decree-holder applied for further execution of the decree, which was objected to by the judgment-debtor, claiming that only the decree of the High Court could be executed. ","The Court held that the decree of the Subordinate Judge merged in the decree of the High Court, and the principle of res judicata applied since the objection could have been raised in the previous application. The objection was not raised then, so it cannot be raised now.",0,,"Key info:  This is an appeal in execution proceedings where the decree-holder obtained a decree from the Subordinate Judge, which was confirmed by the High Court with costs. The decree-holder applied for further execution of the decree, which was objected to by the judgment-debtor, claiming that only the decree of the High Court could be executed.. The Court held that the decree of the Subordinate Judge merged in the decree of the High Court, and the principle of res judicata applied since the objection could have been raised in the previous application. The objection was not raised then, so it cannot be raised now.."
"The plaintiff sought possession of joint family property, claiming it was joint family property. The court found that the evidence, including village records, indicated that the family remained joint. Claims of separation were rejected, and the property was declared to be joint family property. The court also rejected claims that the plaintiff had acted improperly in taking certain documents, finding no evidence of wrongdoing. The court ruled in favor of the plaintiff, declaring the property to be joint family property and granting possession to the plaintiff.	","The court ruled in favor of the plaintiff, declaring the property to be joint family property and granting possession to the plaintiff. The court also rejected claims of separation and found no evidence of wrongdoing by the plaintiff in taking certain documents.	",1,,"Key info:  The plaintiff sought possession of joint family property, claiming it was joint family property. The court found that the evidence, including village records, indicated that the family remained joint.. The court ruled in favor of the plaintiff, declaring the property to be joint family property and granting possession to the plaintiff. The court also rejected claims of separation and found no evidence of wrongdoing by the plaintiff in taking certain documents.	."
"In 1876, Muhammad Husain mortgaged a five-biswa share in the village of Sajauli to Bahauddin for six years, with the mortgage amount of Rs. 1,000 to be repaid at the end of the period. The mortgage was usufructuary, with the usufruct being taken instead of interest. After the six-year period, Muhammad Husain sought redemption and obtained a decree in 1884, but failed to repay the mortgage amount. Subsequently, the plaintiff purchased Muhammad Husain's interest in the mortgaged premises and brought a suit to redeem the mortgage. The lower court decreed the claim, but the District Judge dismissed the suit, citing Section 13 of the Code of Civil Procedure. The plaintiff appealed.	","The appeal was dismissed, and the suit for redemption was rejected. The court held that a mortgagor, after failing to comply with the decree for redemption within the specified time, cannot bring a fresh suit for redemption. The court emphasized that the Transfer of Property Act allows only one suit for redemption and that allowing a second suit would go against the principle of Section 244 of the Code of Civil Procedure.	",0,,"Key info:  In 1876, Muhammad Husain mortgaged a five-biswa share in the village of Sajauli to Bahauddin for six years, with the mortgage amount of Rs. 1,000 to be repaid at the end of the period. The mortgage was usufructuary, with the usufruct being taken instead of interest.. The appeal was dismissed, and the suit for redemption was rejected. The court held that a mortgagor, after failing to comply with the decree for redemption within the specified time, cannot bring a fresh suit for redemption.."
"The plaintiffs, respondents, sued their landlord, the zamindar, the appellant, to recover compensation for their property sold in execution of a decree for rent. The lower court dismissed the suit, but the Court of First Appeal remanded the case. The appellant appealed.","The appeal was allowed, and the suit was dismissed. The court held that the setting aside of the order commuting the rent by the Board of Revenue did not supersede the decree for rent. As the decree for rent stood unreversed and not superseded by a competent court, the suit failed. The court emphasized that the defendants had a remedy by appealing the decree for rent, which they did not avail themselves of.",0,,"Key info:  The plaintiffs, respondents, sued their landlord, the zamindar, the appellant, to recover compensation for their property sold in execution of a decree for rent. The lower court dismissed the suit, but the Court of First Appeal remanded the case.. The appeal was allowed, and the suit was dismissed. The court held that the setting aside of the order commuting the rent by the Board of Revenue did not supersede the decree for rent.."
"The question raised in this appeal was whether the failure of a tenant to apply for the recovery of land, of which he was wrongfully dispossessed, within the prescribed period under the Rent Act, extinguished his title or only barred his remedy. The plaintiffs, zamindars, dispossessed the defendant, their tenant-at-will, without following the necessary steps for ejectment. The defendant did not apply for recovery within the prescribed period but forcibly resumed possession later. The plaintiffs sued for ejectment, claiming the defendant was a trespasser. The lower court dismissed the suit, but the appellate court decreed it, holding that the tenancy was extinguished. The defendant appealed, arguing that the title was not extinguished, only the remedy barred.","The appeal was dismissed. The court held that the failure to apply for recovery within the prescribed period under the Rent Act extinguished the tenant's title. While the Act did not contain an express provision like Section 28 of the Limitation Act, which extinguishes the title after the prescribed period, the court relied on prior cases and legal principles to conclude that the title was extinguished. Allowing the defendant's argument would lead to insecurity in land occupancy and encourage irregular methods of recovering possession. Therefore, the court upheld the lower court's decision and dismissed the appeal with costs.	",0,,"Key info:  The question raised in this appeal was whether the failure of a tenant to apply for the recovery of land, of which he was wrongfully dispossessed, within the prescribed period under the Rent Act, extinguished his title or only barred his remedy. The plaintiffs, zamindars, dispossessed the defendant, their tenant-at-will, without following the necessary steps for ejectment.. The appeal was dismissed. The court held that the failure to apply for recovery within the prescribed period under the Rent Act extinguished the tenant's title.."
